"arrivals","servicetimes","scheduledDeparture"
32.0417249930983,0.463207022341136,32.5049320154394
32.2809179902037,14.0272372768899,46.5321692923293
43.3759872751586,49.1737388231256,95.7059081154549
47.3988647708945,1.91509571171029,97.6210038271652
56.5076272265761,1.09996537910774,98.7209692062729
60.3726762888728,10.6857294881423,109.406698694415
64.0557707642912,1.1946210781026,110.601319772518
79.4449946743104,4.57191486656666,115.173234639084
102.715073142118,9.23855649464228,124.411791133727
133.011910524332,0.637915918114494,133.649826442446
154.858538842544,26.4238459099282,181.282384752472
155.49583363232,5.7298029043565,187.012187656828
166.393243026283,4.55130309797823,191.563490754807
167.220207488868,5.57041933782793,197.133910092635
175.076870097131,9.85245997090003,206.986370063535
175.628475810979,2.69179699938592,209.678167062921
179.094034655597,2.19320490490645,211.871371967827
184.748815385271,8.09437092643627,219.965742894263
204.202977412118,0.0847790338750596,220.050521928138
210.258632989338,0.0117254107239814,220.062247338862
230.525335964575,8.84423392516026,239.369569889736
234.053988814125,7.34738446556428,246.7169543553
241.596027003326,13.8636576583316,260.580612013631
242.790975306197,30.3583418224989,290.93895383613
242.840313707493,2.27878237050027,293.217736206631
250.678218184564,16.0989312502116,309.316667456842
259.206943928319,0.82015015091747,310.13681760776
263.318407765132,9.53166883502552,319.668486442785
266.10776755168,8.39713217288652,328.065618615672
283.788116472407,7.45673716970184,335.522355785374
284.060341967072,15.4836523877948,351.006008173168
284.681519237149,13.1311422226657,364.137150395834
287.893737349461,8.05151833380669,372.188668729641
295.464833440287,22.4450609225193,394.63372965216
296.864891630625,3.7918297611177,398.425559413278
310.37947163971,7.43774145346531,405.863300866743
317.52129385382,18.1870858418315,424.050386708575
325.88566824514,0.926559240557253,424.976945949132
327.888482723733,3.06361499195918,428.040560941091
345.11094921033,3.58299988604995,431.623560827141
350.831451464883,2.94282237365612,434.566383200797
354.386348824005,7.3446254894922,441.911008690289
366.442142842837,9.08091345051618,450.991922140806
437.73752801309,2.49541867058724,453.487340811393
450.781623685337,7.5944788379239,461.081819649317
451.36294479021,13.9262134203394,475.008033069656
456.014602482367,1.63246476324275,476.640497832899
464.276916319132,7.5699730372841,484.210470870183
478.111139116017,0.491396169279825,484.701867039463
482.739528472674,1.08849908644333,485.790366125906
495.029671507607,6.82439268257865,501.854064190185
498.78815627627,3.62663901550695,505.480703205692
501.778659135736,5.00663601298281,510.487339218675
504.072285145223,1.26368655957923,511.751025778254
516.662839622449,4.86484110139706,521.527680723846
526.337594249078,0.524302062578499,526.861896311657
526.958637199157,1.18347216978282,528.14210936894
529.132911160978,15.248703387615,544.381614548593
540.992006611048,8.20956946880021,552.591184017393
549.505452632453,1.9855560342886,554.576740051681
555.243124515316,2.62576311826706,557.868887633583
556.069688040443,10.4568625421787,568.325750175761
582.007018629538,5.39940056454786,587.406419194086
588.567701921875,1.79024111758918,590.357943039464
591.9871666367,5.73700418759533,597.724170824296
613.379289421932,4.19106851611286,617.570357938045
660.777615406572,6.46068615902611,667.238301565598
670.904890601125,3.73963150940835,674.644522110533
676.431181910049,3.11995045933872,679.551132369388
684.976903483384,2.90927563607693,687.886179119461
687.808468299099,4.282026742585,692.168205862046
688.866766807537,1.96218144508635,694.130387307133
691.223139865237,6.8836058254207,701.013993132553
695.598788797652,7.83004719124384,708.844040323797
714.849200672358,8.22064257197478,723.069843244332
741.339449615708,1.30871069431305,742.648160310021
741.670050669075,1.61089722253382,744.259057532555
742.641752629155,26.0160541165818,770.275111649136
743.991449563328,8.37934656366528,778.654458212802
768.801321455444,3.64927021879703,782.303728431599
773.694050682875,1.24349750557465,783.547225937173
777.254664663392,2.65054892329499,786.197774860468
783.45982794946,3.63578803790733,789.833562898376
815.174952122732,0.594818633981049,815.769770756713
815.955943410634,17.9501372809082,833.906080691542
820.393357560907,10.4749279891779,844.38100868072
830.796163021104,36.6025119217091,880.983520602429
840.873526422335,0.857730263844132,881.841250866273
848.006462573629,12.1554899925336,893.996740858807
853.580490665134,16.0879702652365,910.084711124043
870.172932407953,1.13296958245337,911.217680706496
880.435976366227,5.090820306618,916.308501013114
888.893170876654,20.7521539462615,937.060654959376
891.033689671422,3.46046458231285,940.521119541689
900.91707771904,4.44273693906143,944.96385648075
904.541773705549,0.156535358168185,945.120391838918
905.551992284871,10.3275805715374,955.447972410456
921.21143009818,1.42538907177242,956.873361482228
922.715474598359,10.571380402088,967.444741884316
927.00440377767,0.781592802926021,968.226334687242
929.87777703746,0.895954459032543,969.122289146275
935.22231545138,0.128560915589333,969.250850061864
945.399066626855,15.4153985801642,984.666248642028
946.247081866317,5.91119765824944,990.577446300278
950.543991143645,1.83217706298456,992.409623363262
950.99105430098,7.10029499017098,999.509918353433
969.374048497448,5.75813405684959,1005.26805241028
973.53446808339,5.05573572563609,1010.32378813592
979.619566349023,11.7210344530806,1022.044822589
988.311104213109,5.85724986780831,1027.90207245681
995.76034510716,12.2657311906745,1040.16780364748
1002.74444793375,6.31850923847803,1046.48631288596
1005.46834388939,2.73453952651471,1049.22085241248
1025.95134258377,3.59026070808262,1052.81111312056
1043.07435834803,7.4616613765962,1060.27277449715
1043.46235640797,26.1693536866654,1086.44212818382
1092.48407169843,10.303966770338,1102.78803846877
1101.07752155137,0.782782360445708,1103.57082082922
1105.18612406307,0.213337252382189,1105.39946131545
1115.06375166689,4.10802565328777,1119.17177732017
1118.02612691793,5.69927164012502,1124.8710489603
1139.02702325504,2.45770412078127,1141.48472737582
1140.07093520749,5.07239198096492,1146.55711935679
1140.95529041164,7.31399326263649,1153.87111261943
