State,Migration
Alabama,4024442
Alaska,571857
Arizona,5107496
Arkansas,2421746
California,31213310
Colorado,4048042
Connecticut,3139496
Delaware,775414
District of Columbia ,489659
Florida,15742168
Georgia,8095407
Hawaii,1160948
Idaho,1284530
Illinois,11076528
Indiana,5478683
Iowa,2573313
Kansas,2372033
Kentucky,3686232
Louisiana,3865118
Maine,1120364
Maryland,5008452
Massachusetts,5658768
Michigan,8340767
Minnesota,4505462
Mississippi,2534036
Missouri,4963040
Montana,828254
Nebraska,1505191
Nevada,2084668
New Hampshire,1141236
New Jersey,7825661
New Mexico,1753413
New York,17055260
North Carolina,8070238
North Dakota,559906
Ohio,9764366
Oklahoma,3089041
Oregon,3128121
Pennsylvania,11099077
Rhode Island,903786
South Carolina,3899705
South Dakota,688436
Tennessee,5342978
Texas,20984855
Utah,2295961
Vermont,537304
Virginia,6789620
Washington,5565069
West Virginia,1609110
Wisconsin,4846550
Wyoming,462808
Puerto Rico,3403602
