State,Migration
Alabama,4054260
Alaska,592551
Arizona,5242674
Arkansas,2453347
California,31777868
Colorado,4131357
Connecticut,3114940
Delaware,782216
District of Columbia ,500267
Florida,16032617
Georgia,8231384
Hawaii,1164145
Idaho,1296975
Illinois,11009321
Indiana,5493090
Iowa,2585979
Kansas,2361899
Kentucky,3676472
Louisiana,3912023
Maine,1132344
Maryland,5068457
Massachusetts,5752166
Michigan,8330990
Minnesota,4536303
Mississippi,2529377
Missouri,4965459
Montana,829489
Nebraska,1540361
Nevada,2105070
New Hampshire,1127376
New Jersey,7929570
New Mexico,1769341
New York,17202134
North Carolina,8167830
North Dakota,563978
Ohio,9735390
Oklahoma,3107367
Oregon,3158450
Pennsylvania,11107110
Rhode Island,899551
South Carolina,3929626
South Dakota,676014
Tennessee,5396833
Texas,21354247
Utah,2324019
Vermont,532237
Virginia,6857430
Washington,5648199
West Virginia,1613322
Wisconsin,4849945
Wyoming,459226
Puerto Rico,3366593
