State,Migration
Alabama,4081522
Alaska,585916
Arizona,5431241
Arkansas,2464189
California,32849251
Colorado,4263998
Connecticut,3111779
Delaware,810905
District of Columbia ,513634
Florida,16504838
Georgia,8406436
Hawaii,1198766
Idaho,1335689
Illinois,11021611
Indiana,5540754
Iowa,2594781
Kansas,2378716
Kentucky,3663490
Louisiana,3970442
Maine,1138397
Maryland,5091903
Massachusetts,5784744
Michigan,8336037
Minnesota,4612655
Mississippi,2554296
Missouri,5042396
Montana,845142
Nebraska,1541744
Nevada,2235861
New Hampshire,1134514
New Jersey,7961796
New Mexico,1770053
New York,17418181
North Carolina,8332705
North Dakota,602508
Ohio,9742065
Oklahoma,3148699
Oregon,3196441
Pennsylvania,11103966
Rhode Island,906936
South Carolina,4046123
South Dakota,701352
Tennessee,5465071
Texas,22151594
Utah,2407608
Vermont,536915
Virginia,6891144
Washington,5757065
West Virginia,1617510
Wisconsin,4868506
Wyoming,475740
Puerto Rico,3251389
