exportCountry,importCountry,Product,Trade
Canada,Colombia,"Wood, Paper and Related Products",57750.69
Mexico,Colombia,"Wood, Paper and Related Products",41058.27
United States,Colombia,"Wood, Paper and Related Products",304126.16
Argentina,Colombia,"Wood, Paper and Related Products",6955.67
Brazil,Colombia,"Wood, Paper and Related Products",78895.97
Chile,Colombia,"Wood, Paper and Related Products",183754.85
Ecuador,Colombia,"Wood, Paper and Related Products",71757.53
Canada,Ecuador,Animal Products,1841.38
Mexico,Ecuador,Animal Products,1193.23
United States,Ecuador,Animal Products,40946.96
Argentina,Ecuador,Animal Products,4061.78
Brazil,Ecuador,Animal Products,15976.41
Chile,Ecuador,Animal Products,18869.49
Colombia,Ecuador,Animal Products,19920.98
Canada,Ecuador,Beverages and Oils,1460.75
Mexico,Ecuador,Beverages and Oils,5754.55
United States,Ecuador,Beverages and Oils,6040.7
Argentina,Ecuador,Beverages and Oils,33892.57
Brazil,Ecuador,Beverages and Oils,1584.68
Chile,Ecuador,Beverages and Oils,21895.32
Colombia,Ecuador,Beverages and Oils,9234.92
Canada,Ecuador,Chemicals and Related Products,24943.94
Mexico,Ecuador,Chemicals and Related Products,233991.5
United States,Ecuador,Chemicals and Related Products,709247.24
Argentina,Ecuador,Chemicals and Related Products,56315.05
Brazil,Ecuador,Chemicals and Related Products,217532.9
Chile,Ecuador,Chemicals and Related Products,122796.42
Colombia,Ecuador,Chemicals and Related Products,705518.67
Canada,Ecuador,"Computers, Office, Communications, and Professional Equipment",9223.47
Mexico,Ecuador,"Computers, Office, Communications, and Professional Equipment",136880.32
United States,Ecuador,"Computers, Office, Communications, and Professional Equipment",851575.47
Argentina,Ecuador,"Computers, Office, Communications, and Professional Equipment",3204.7
Brazil,Ecuador,"Computers, Office, Communications, and Professional Equipment",52522.37
Chile,Ecuador,"Computers, Office, Communications, and Professional Equipment",935.21
Colombia,Ecuador,"Computers, Office, Communications, and Professional Equipment",18843.37
Canada,Ecuador,Energy and Mining,764.15
Mexico,Ecuador,Energy and Mining,7049.29
United States,Ecuador,Energy and Mining,3144588
Argentina,Ecuador,Energy and Mining,99163.18
Brazil,Ecuador,Energy and Mining,7104.78
Chile,Ecuador,Energy and Mining,2301.16
Colombia,Ecuador,Energy and Mining,45351.58
Canada,Ecuador,Glass and Non-Metallic Products,22.44
Mexico,Ecuador,Glass and Non-Metallic Products,47941.36
United States,Ecuador,Glass and Non-Metallic Products,25349.27
Argentina,Ecuador,Glass and Non-Metallic Products,1232.76
Brazil,Ecuador,Glass and Non-Metallic Products,20300.34
Chile,Ecuador,Glass and Non-Metallic Products,3581.02
Colombia,Ecuador,Glass and Non-Metallic Products,76729.65
Canada,Ecuador,Machinery and Electrical Equipment,27084.29
Mexico,Ecuador,Machinery and Electrical Equipment,99176.33
United States,Ecuador,Machinery and Electrical Equipment,965252.66
Argentina,Ecuador,Machinery and Electrical Equipment,26015.78
Brazil,Ecuador,Machinery and Electrical Equipment,180922.58
Chile,Ecuador,Machinery and Electrical Equipment,45122.83
Colombia,Ecuador,Machinery and Electrical Equipment,166080.55
Canada,Ecuador,Metals and Metal Products,14219.35
Mexico,Ecuador,Metals and Metal Products,115366.46
United States,Ecuador,Metals and Metal Products,225689.15
Argentina,Ecuador,Metals and Metal Products,41088.88
Brazil,Ecuador,Metals and Metal Products,108563.56
Chile,Ecuador,Metals and Metal Products,46043.21
Colombia,Ecuador,Metals and Metal Products,97725.47
Canada,Ecuador,Miscellaneous,3216.75
Mexico,Ecuador,Miscellaneous,13647.32
United States,Ecuador,Miscellaneous,274907.19
Argentina,Ecuador,Miscellaneous,2335.56
Brazil,Ecuador,Miscellaneous,17382.33
Chile,Ecuador,Miscellaneous,11980.43
Colombia,Ecuador,Miscellaneous,44712.85
Canada,Ecuador,"Textiles, Leather, and Apparel",1074.75
Mexico,Ecuador,"Textiles, Leather, and Apparel",7116.22
United States,Ecuador,"Textiles, Leather, and Apparel",55308.67
Argentina,Ecuador,"Textiles, Leather, and Apparel",5604.83
Brazil,Ecuador,"Textiles, Leather, and Apparel",28165.63
Chile,Ecuador,"Textiles, Leather, and Apparel",7721.06
Colombia,Ecuador,"Textiles, Leather, and Apparel",236162.92
Canada,Ecuador,Transportation Equipment and Parts,5305.96
Mexico,Ecuador,Transportation Equipment and Parts,170777.24
United States,Ecuador,Transportation Equipment and Parts,435806.33
Argentina,Ecuador,Transportation Equipment and Parts,31125.7
Brazil,Ecuador,Transportation Equipment and Parts,106625.04
Chile,Ecuador,Transportation Equipment and Parts,4517.36
Colombia,Ecuador,Transportation Equipment and Parts,299942.31
Canada,Ecuador,Vegetable Products,143341.43
Mexico,Ecuador,Vegetable Products,36563.06
United States,Ecuador,Vegetable Products,379113.06
Argentina,Ecuador,Vegetable Products,92299.35
Brazil,Ecuador,Vegetable Products,100312.55
Chile,Ecuador,Vegetable Products,185209.9
Colombia,Ecuador,Vegetable Products,135035.34
Canada,Ecuador,"Wood, Paper and Related Products",11744.96
Mexico,Ecuador,"Wood, Paper and Related Products",9065.44
United States,Ecuador,"Wood, Paper and Related Products",206012.27
Argentina,Ecuador,"Wood, Paper and Related Products",18908.51
Brazil,Ecuador,"Wood, Paper and Related Products",36929.92
Chile,Ecuador,"Wood, Paper and Related Products",86886.21
Colombia,Ecuador,"Wood, Paper and Related Products",175079.06
Canada,Brazil,Animal Products,23051.98
Mexico,Brazil,Animal Products,1654.02
United States,Brazil,Animal Products,111766.96
Argentina,Brazil,Animal Products,551423.74
Chile,Brazil,Animal Products,379393.22
Colombia,Brazil,Animal Products,0
Ecuador,Brazil,Animal Products,29127.6
Canada,Brazil,Beverages and Oils,269.95
Mexico,Brazil,Beverages and Oils,15831.89
United States,Brazil,Beverages and Oils,25334.26
Argentina,Brazil,Beverages and Oils,124832.63
Chile,Brazil,Beverages and Oils,105882.58
Colombia,Brazil,Beverages and Oils,36223.49
Ecuador,Brazil,Beverages and Oils,30944.94
Canada,Brazil,Chemicals and Related Products,978893.42
Mexico,Brazil,Chemicals and Related Products,1450783.03
United States,Brazil,Chemicals and Related Products,10717750.27
Argentina,Brazil,Chemicals and Related Products,2310626.9
Chile,Brazil,Chemicals and Related Products,659637.27
Colombia,Brazil,Chemicals and Related Products,596723.3
Ecuador,Brazil,Chemicals and Related Products,4361.45
Canada,Brazil,"Computers, Office, Communications, and Professional Equipment",130677.03
Mexico,Brazil,"Computers, Office, Communications, and Professional Equipment",372441.86
United States,Brazil,"Computers, Office, Communications, and Professional Equipment",5392759.66
Argentina,Brazil,"Computers, Office, Communications, and Professional Equipment",96387.32
Chile,Brazil,"Computers, Office, Communications, and Professional Equipment",3087.71
Colombia,Brazil,"Computers, Office, Communications, and Professional Equipment",14919.22
Ecuador,Brazil,"Computers, Office, Communications, and Professional Equipment",8336.39
Canada,Brazil,Energy and Mining,536822.16
Mexico,Brazil,Energy and Mining,145194.25
United States,Brazil,Energy and Mining,6717934.23
Argentina,Brazil,Energy and Mining,1444900.36
Chile,Brazil,Energy and Mining,573906.73
Colombia,Brazil,Energy and Mining,554863.29
Ecuador,Brazil,Energy and Mining,0
Canada,Brazil,Glass and Non-Metallic Products,27396.03
Mexico,Brazil,Glass and Non-Metallic Products,112230.78
United States,Brazil,Glass and Non-Metallic Products,196832.79
Argentina,Brazil,Glass and Non-Metallic Products,34794.33
Chile,Brazil,Glass and Non-Metallic Products,2800.26
Colombia,Brazil,Glass and Non-Metallic Products,63303.14
Ecuador,Brazil,Glass and Non-Metallic Products,0
Canada,Brazil,Machinery and Electrical Equipment,378690.68
Mexico,Brazil,Machinery and Electrical Equipment,544295.75
United States,Brazil,Machinery and Electrical Equipment,8504561.65
Argentina,Brazil,Machinery and Electrical Equipment,502580.51
Chile,Brazil,Machinery and Electrical Equipment,26128.08
Colombia,Brazil,Machinery and Electrical Equipment,27350.66
Ecuador,Brazil,Machinery and Electrical Equipment,5796.56
Canada,Brazil,Metals and Metal Products,75983.41
Mexico,Brazil,Metals and Metal Products,416972.77
United States,Brazil,Metals and Metal Products,1250947.9
Argentina,Brazil,Metals and Metal Products,563170.23
Chile,Brazil,Metals and Metal Products,2088320.98
Colombia,Brazil,Metals and Metal Products,107701.58
Ecuador,Brazil,Metals and Metal Products,5990.61
Canada,Brazil,Miscellaneous,35463.84
Mexico,Brazil,Miscellaneous,83011.3
United States,Brazil,Miscellaneous,1387623.06
Argentina,Brazil,Miscellaneous,19776.87
Chile,Brazil,Miscellaneous,666.39
Colombia,Brazil,Miscellaneous,5285.05
Ecuador,Brazil,Miscellaneous,228.16
Canada,Brazil,"Textiles, Leather, and Apparel",9701.67
Mexico,Brazil,"Textiles, Leather, and Apparel",43802.27
United States,Brazil,"Textiles, Leather, and Apparel",198988.66
Argentina,Brazil,"Textiles, Leather, and Apparel",119081.55
Chile,Brazil,"Textiles, Leather, and Apparel",10945.29
Colombia,Brazil,"Textiles, Leather, and Apparel",33049.61
Ecuador,Brazil,"Textiles, Leather, and Apparel",6292.7
Canada,Brazil,Transportation Equipment and Parts,262661.23
Mexico,Brazil,Transportation Equipment and Parts,3452441.21
United States,Brazil,Transportation Equipment and Parts,7357282.53
Argentina,Brazil,Transportation Equipment and Parts,8317056.01
Chile,Brazil,Transportation Equipment and Parts,114361.42
Colombia,Brazil,Transportation Equipment and Parts,3782.32
Ecuador,Brazil,Transportation Equipment and Parts,903.66
Canada,Brazil,Vegetable Products,42847.72
Mexico,Brazil,Vegetable Products,62324.97
United States,Brazil,Vegetable Products,1676415.59
Argentina,Brazil,Vegetable Products,3069023.86
Chile,Brazil,Vegetable Products,310208.41
Colombia,Brazil,Vegetable Products,19548.09
Ecuador,Brazil,Vegetable Products,42241.71
Canada,Brazil,"Wood, Paper and Related Products",224988.85
Mexico,Brazil,"Wood, Paper and Related Products",30738.58
United States,Brazil,"Wood, Paper and Related Products",429171.5
Argentina,Brazil,"Wood, Paper and Related Products",249332.21
Chile,Brazil,"Wood, Paper and Related Products",68782.75
Colombia,Brazil,"Wood, Paper and Related Products",22963.78
Ecuador,Brazil,"Wood, Paper and Related Products",14882.52
