exportCountry,importCountry,Product,Trade
United States,Canada,"Computers, Office, Communications, and Professional Equipment",11532888.07
Argentina,Canada,"Computers, Office, Communications, and Professional Equipment",387.09
Brazil,Canada,"Computers, Office, Communications, and Professional Equipment",12982.34
Chile,Canada,"Computers, Office, Communications, and Professional Equipment",3749.9
Colombia,Canada,"Computers, Office, Communications, and Professional Equipment",816.67
Ecuador,Canada,"Computers, Office, Communications, and Professional Equipment",201.57
Mexico,Canada,Energy and Mining,1474845.27
United States,Canada,Energy and Mining,26676966.64
Argentina,Canada,Energy and Mining,61269.3
Brazil,Canada,Energy and Mining,1669277.46
Chile,Canada,Energy and Mining,48860.46
Colombia,Canada,Energy and Mining,273940.2
Ecuador,Canada,Energy and Mining,45729
Mexico,Canada,Glass and Non-Metallic Products,150199.05
United States,Canada,Glass and Non-Metallic Products,3402176.19
Argentina,Canada,Glass and Non-Metallic Products,925.64
Brazil,Canada,Glass and Non-Metallic Products,75299.13
Chile,Canada,Glass and Non-Metallic Products,2714.87
Colombia,Canada,Glass and Non-Metallic Products,9719.09
Ecuador,Canada,Glass and Non-Metallic Products,180.32
Mexico,Canada,Machinery and Electrical Equipment,4348514.01
United States,Canada,Machinery and Electrical Equipment,38943971.4
Argentina,Canada,Machinery and Electrical Equipment,23547.8
Brazil,Canada,Machinery and Electrical Equipment,282676.27
Chile,Canada,Machinery and Electrical Equipment,9927.28
Colombia,Canada,Machinery and Electrical Equipment,5911.17
Ecuador,Canada,Machinery and Electrical Equipment,1873.15
Mexico,Canada,Metals and Metal Products,1277481.66
United States,Canada,Metals and Metal Products,21967509.89
Argentina,Canada,Metals and Metal Products,1511817.31
Brazil,Canada,Metals and Metal Products,347017.24
Chile,Canada,Metals and Metal Products,663173.13
Colombia,Canada,Metals and Metal Products,2205.21
Ecuador,Canada,Metals and Metal Products,25127.07
Mexico,Canada,Miscellaneous,1501149.19
United States,Canada,Miscellaneous,14282917.82
Argentina,Canada,Miscellaneous,1709.55
Brazil,Canada,Miscellaneous,39455.18
Chile,Canada,Miscellaneous,315.18
Colombia,Canada,Miscellaneous,5501.3
Ecuador,Canada,Miscellaneous,171.17
Mexico,Canada,"Textiles, Leather, and Apparel",446446.48
United States,Canada,"Textiles, Leather, and Apparel",3978610.35
Argentina,Canada,"Textiles, Leather, and Apparel",3722.11
Brazil,Canada,"Textiles, Leather, and Apparel",34020.75
Chile,Canada,"Textiles, Leather, and Apparel",1246.5
Colombia,Canada,"Textiles, Leather, and Apparel",15733.43
Ecuador,Canada,"Textiles, Leather, and Apparel",910.64
Mexico,Canada,Transportation Equipment and Parts,8791563.74
United States,Canada,Transportation Equipment and Parts,59662879.16
Argentina,Canada,Transportation Equipment and Parts,3988.22
Brazil,Canada,Transportation Equipment and Parts,119359.33
Chile,Canada,Transportation Equipment and Parts,6065.04
Colombia,Canada,Transportation Equipment and Parts,1947.72
Ecuador,Canada,Transportation Equipment and Parts,548.74
Mexico,Canada,Vegetable Products,1173654.93
United States,Canada,Vegetable Products,14785461.72
Argentina,Canada,Vegetable Products,152594.37
Brazil,Canada,Vegetable Products,703029.6
Chile,Canada,Vegetable Products,390277.66
Colombia,Canada,Vegetable Products,330564.26
Ecuador,Canada,Vegetable Products,144818.99
Mexico,Canada,"Wood, Paper and Related Products",144089.74
United States,Canada,"Wood, Paper and Related Products",10893951.29
Argentina,Canada,"Wood, Paper and Related Products",11970.55
Brazil,Canada,"Wood, Paper and Related Products",123751.54
Chile,Canada,"Wood, Paper and Related Products",72011.51
Colombia,Canada,"Wood, Paper and Related Products",1319.11
Ecuador,Canada,"Wood, Paper and Related Products",285.3
Canada,Mexico,Animal Products,210080.95
United States,Mexico,Animal Products,5168717.24
Argentina,Mexico,Animal Products,7467.94
Brazil,Mexico,Animal Products,2003.4
Chile,Mexico,Animal Products,171093.85
Colombia,Mexico,Animal Products,1107.05
Ecuador,Mexico,Animal Products,6145.08
Canada,Mexico,Beverages and Oils,39957.37
United States,Mexico,Beverages and Oils,989578.29
Argentina,Mexico,Beverages and Oils,41372.59
Brazil,Mexico,Beverages and Oils,3206.37
Chile,Mexico,Beverages and Oils,35078.14
Colombia,Mexico,Beverages and Oils,39882.59
Ecuador,Mexico,Beverages and Oils,29126.98
Canada,Mexico,Chemicals and Related Products,695766.78
United States,Mexico,Chemicals and Related Products,32583205.91
Argentina,Mexico,Chemicals and Related Products,154417.43
Brazil,Mexico,Chemicals and Related Products,577701.94
Chile,Mexico,Chemicals and Related Products,285338.98
Colombia,Mexico,Chemicals and Related Products,237840.31
Ecuador,Mexico,Chemicals and Related Products,5646.35
Canada,Mexico,"Computers, Office, Communications, and Professional Equipment",187945.45
United States,Mexico,"Computers, Office, Communications, and Professional Equipment",10956121.9
Argentina,Mexico,"Computers, Office, Communications, and Professional Equipment",9440.09
Brazil,Mexico,"Computers, Office, Communications, and Professional Equipment",87282.98
Chile,Mexico,"Computers, Office, Communications, and Professional Equipment",3500.11
Colombia,Mexico,"Computers, Office, Communications, and Professional Equipment",5587.18
Ecuador,Mexico,"Computers, Office, Communications, and Professional Equipment",2032.37
Canada,Mexico,Energy and Mining,106144.85
United States,Mexico,Energy and Mining,25440152.2
Argentina,Mexico,Energy and Mining,22567.71
Brazil,Mexico,Energy and Mining,134718.83
Chile,Mexico,Energy and Mining,73089.23
Colombia,Mexico,Energy and Mining,119670.35
Ecuador,Mexico,Energy and Mining,636.19
Canada,Mexico,Glass and Non-Metallic Products,7149.45
United States,Mexico,Glass and Non-Metallic Products,1090528.19
Argentina,Mexico,Glass and Non-Metallic Products,1170.05
Brazil,Mexico,Glass and Non-Metallic Products,66009.37
Chile,Mexico,Glass and Non-Metallic Products,5746.27
Colombia,Mexico,Glass and Non-Metallic Products,19006.2
Ecuador,Mexico,Glass and Non-Metallic Products,605.92
Canada,Mexico,Machinery and Electrical Equipment,663653.21
United States,Mexico,Machinery and Electrical Equipment,30744530.94
Argentina,Mexico,Machinery and Electrical Equipment,61160.43
Brazil,Mexico,Machinery and Electrical Equipment,756082.58
Chile,Mexico,Machinery and Electrical Equipment,34861.68
Colombia,Mexico,Machinery and Electrical Equipment,34870.93
Ecuador,Mexico,Machinery and Electrical Equipment,3138.39
Canada,Mexico,Metals and Metal Products,764796.68
United States,Mexico,Metals and Metal Products,15740068.59
Argentina,Mexico,Metals and Metal Products,81537.29
Brazil,Mexico,Metals and Metal Products,582087.8
Chile,Mexico,Metals and Metal Products,145766.19
Colombia,Mexico,Metals and Metal Products,28822.02
Ecuador,Mexico,Metals and Metal Products,1494.48
Canada,Mexico,Miscellaneous,120367.5
United States,Mexico,Miscellaneous,9682187.73
Argentina,Mexico,Miscellaneous,31992.76
Brazil,Mexico,Miscellaneous,25737.31
Chile,Mexico,Miscellaneous,48738.43
Colombia,Mexico,Miscellaneous,15576.57
Ecuador,Mexico,Miscellaneous,27546.87
Canada,Mexico,"Textiles, Leather, and Apparel",39195.42
United States,Mexico,"Textiles, Leather, and Apparel",4419309.63
Argentina,Mexico,"Textiles, Leather, and Apparel",128662.74
Brazil,Mexico,"Textiles, Leather, and Apparel",136117.75
Chile,Mexico,"Textiles, Leather, and Apparel",9104.9
Colombia,Mexico,"Textiles, Leather, and Apparel",126114.39
Ecuador,Mexico,"Textiles, Leather, and Apparel",4328.56
Canada,Mexico,Transportation Equipment and Parts,1075181.69
United States,Mexico,Transportation Equipment and Parts,27518936.95
Argentina,Mexico,Transportation Equipment and Parts,202930.9
Brazil,Mexico,Transportation Equipment and Parts,1551301.73
Chile,Mexico,Transportation Equipment and Parts,8842.95
Colombia,Mexico,Transportation Equipment and Parts,197736.15
